id,kickoff_time,team_home,team_away,score_home,score_away,status,location,stage,group,
1,2026-06-11 21:00:00+00,Mexico,South Africa,,,scheduled,Mexico City,Group Stage,Group A,2026-06-11 21:00:00+00
2,2026-06-12 21:00:00+00,Canada,Bosnia-Herzegovina,,,scheduled,Toronto,Group Stage,Group B,
3,2026-06-13 18:00:00+00,Brazil,Morocco,,,scheduled,New York / New Jersy,Group Stage,Group C,
4,2026-06-13 03:00:00+00,USA,Paraguay,,,scheduled,Los Angeles,Group Stage,Group D,
5,2026-06-14 13:00:00+00,Germany,Curacao,,,scheduled,Houston,Group Stage,Group E,
6,2026-06-14 16:00:00+00,Netherlands,Japan,,,scheduled,Dallas,Group Stage,Group F,
7,2026-06-12 04:00:00+00,South Korea,Czechia,,,scheduled,Guadalajara,Group Stage,Group A,
8,2026-06-13 21:00:00+00,Qatar,Switzerland,,,scheduled,San Francisco Bay Area,Group Stage,Group B,
9,2026-06-13 21:00:00+00,Haiti,Scotland,,,scheduled,Boston,Group Stage,Group C,
10,2026-06-13 00:00:00+00,Australia,Turkey,,,scheduled,Vancouver,Group Stage,Group D,
11,2026-06-14 19:00:00+00,Cote d'Ivoire,Ecuador,,,scheduled,Philadelphia,Group Stage,Group E,
12,2026-06-14 22:00:00+00,Sweden,Tunisia,,,scheduled,Monterrey,Group Stage,Group F,
13,2026-06-18 12:00:00+00,Czechia,South Africa,,,scheduled,Atlanta,Group Stage,Group A,
14,2026-06-18 15:00:00+00,Switzerland,Bosnia-Herzegovina,,,scheduled,Los Angeles,Group Stage,Group B,
15,2026-06-19 18:00:00+00,Scotland,Morocco,,,scheduled,Boston,Group Stage,Group C,
16,2026-06-19 15:00:00+00,USA,Australia,,,scheduled,Seattle,Group Stage,Group D,
17,2026-06-20 16:00:00+00,Germany,Cote d'Ivoire,,,scheduled,Toronto,Group Stage,Group E,
18,2026-06-20 13:00:00+00,Netherlands,Sweden,,,scheduled,Houston,Group Stage,Group F,
19,2026-06-18 21:00:00+00,Mexico,South Korea,,,scheduled,Guadalajara,Group Stage,Group A,
20,2026-06-18 18:00:00+00,Canada,Qatar,,,scheduled,Vancouver,Group Stage,Group B,
